cell,epoch,train_loss,val_loss,best_val,val_dice,best_val_dice,lr,improved,time_s
TB,131,1.67978,2.66063,2.47799,0.19456,0.19783,1.0000000000000004e-08,0,11.8
TB,132,1.67977,2.66068,2.47799,0.19455,0.19783,1.0000000000000004e-08,0,11.7
TB,133,1.67977,2.66073,2.47799,0.19455,0.19783,1.0000000000000004e-08,0,11.8
TB,134,1.67982,2.66043,2.47799,0.19449,0.19783,1.0000000000000004e-08,0,11.8
TB,135,1.67992,2.66042,2.47799,0.19451,0.19783,1.0000000000000004e-08,0,11.7
TB,136,1.67995,2.66045,2.47799,0.19453,0.19783,1.0000000000000004e-08,0,11.7
TB,137,1.67977,2.66046,2.47799,0.19454,0.19783,1.0000000000000004e-08,0,11.8
TB,138,1.67972,2.6604,2.47799,0.19456,0.19783,1.0000000000000004e-08,0,11.7
TB,139,1.67966,2.6605,2.47799,0.19456,0.19783,1.0000000000000004e-08,0,11.7
TB,140,1.67962,2.66045,2.47799,0.19457,0.19783,1.0000000000000004e-08,0,11.8
TB,141,1.67974,2.66038,2.47799,0.19456,0.19783,1.0000000000000004e-08,0,11.7
TB,142,1.67972,2.6604,2.47799,0.19457,0.19783,1.0000000000000004e-08,0,11.8
TB,143,1.67969,2.66041,2.47799,0.19459,0.19783,1.0000000000000004e-08,0,11.7
TB,144,1.67976,2.66043,2.47799,0.19459,0.19783,1.0000000000000004e-08,0,11.8
TB,145,1.67977,2.66058,2.47799,0.19457,0.19783,1.0000000000000004e-08,0,11.7
TB,146,1.6798,2.66055,2.47799,0.19456,0.19783,1.0000000000000004e-08,0,11.7
TB,147,1.67971,2.66052,2.47799,0.19454,0.19783,1.0000000000000004e-08,0,11.8
TB,148,1.67986,2.66064,2.47799,0.19455,0.19783,1.0000000000000004e-08,0,11.8
TB,149,1.67959,2.66075,2.47799,0.19453,0.19783,1.0000000000000004e-08,0,11.7
TB,150,1.67952,2.66078,2.47799,0.19453,0.19783,1.0000000000000004e-08,0,11.7
TB,151,1.67944,2.6608,2.47799,0.19451,0.19783,1.0000000000000004e-08,0,11.7
TB,152,1.67946,2.66071,2.47799,0.19453,0.19783,1.0000000000000004e-08,0,11.8
TB,153,1.67947,2.66078,2.47799,0.19453,0.19783,1.0000000000000004e-08,0,11.7
TB,154,1.67961,2.661,2.47799,0.19452,0.19783,1.0000000000000004e-08,0,11.8
TB,155,1.67956,2.66105,2.47799,0.19453,0.19783,1.0000000000000004e-08,0,11.7
TB,156,1.67954,2.66108,2.47799,0.19453,0.19783,1.0000000000000004e-08,0,11.7
TB,157,1.67952,2.66111,2.47799,0.19453,0.19783,1.0000000000000004e-08,0,11.8
TB,158,1.67952,2.66114,2.47799,0.19453,0.19783,1.0000000000000004e-08,0,11.7
TB,159,1.67935,2.66119,2.47799,0.19463,0.19783,1.0000000000000004e-08,0,11.8
TB,160,1.67931,2.66116,2.47799,0.19464,0.19783,1.0000000000000004e-08,0,11.7
TB,161,1.67934,2.66114,2.47799,0.19464,0.19783,1.0000000000000004e-08,0,11.7
TB,162,1.67933,2.66114,2.47799,0.19465,0.19783,1.0000000000000004e-08,0,11.7
TB,163,1.67929,2.66114,2.47799,0.19464,0.19783,1.0000000000000004e-08,0,11.8
TB,164,1.67925,2.66135,2.47799,0.19463,0.19783,1.0000000000000004e-08,0,11.8
TB,165,1.67924,2.66137,2.47799,0.19463,0.19783,1.0000000000000004e-08,0,11.7
TB,166,1.67923,2.66139,2.47799,0.19465,0.19783,1.0000000000000004e-08,0,11.8
TB,167,1.67905,2.66147,2.47799,0.19464,0.19783,1.0000000000000004e-08,0,11.7
