cell,epoch,train_loss,val_loss,best_val,bin_val_dice,bin_val_prec,bin_val_rec,bin_val_fpr,bin_val_fnr,best_bin_dice,lr,improved,time_s
TC,161,0.27093,0.62217,0.60569,0.29883,0.44353,0.35864,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,162,0.27092,0.62214,0.60569,0.29888,0.44361,0.35863,0.02747,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,163,0.27092,0.62214,0.60569,0.29888,0.44361,0.35864,0.02747,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,164,0.27091,0.62214,0.60569,0.29888,0.44362,0.35864,0.02747,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,165,0.2709,0.62214,0.60569,0.29888,0.44361,0.35864,0.02747,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,166,0.27088,0.62216,0.60569,0.29889,0.44362,0.35864,0.02749,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,167,0.27088,0.62216,0.60569,0.29887,0.4436,0.35864,0.02749,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,168,0.27088,0.62216,0.60569,0.29888,0.44361,0.35863,0.02749,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,169,0.27088,0.62215,0.60569,0.29889,0.44364,0.35864,0.02749,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,170,0.27088,0.62216,0.60569,0.2989,0.44362,0.35865,0.02749,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,171,0.27087,0.62217,0.60569,0.29889,0.44362,0.35866,0.02749,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,172,0.27086,0.62217,0.60569,0.29889,0.44363,0.35865,0.02749,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,173,0.27085,0.62218,0.60569,0.29886,0.44365,0.35861,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,174,0.27085,0.62216,0.60569,0.29887,0.44367,0.35861,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,175,0.27085,0.62216,0.60569,0.29886,0.44368,0.3586,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,176,0.27084,0.62216,0.60569,0.29887,0.44368,0.35861,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.8
TC,177,0.27083,0.62216,0.60569,0.29887,0.44368,0.35859,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.8
TC,178,0.27083,0.62219,0.60569,0.29879,0.44366,0.35856,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,179,0.27082,0.62222,0.60569,0.29876,0.44364,0.35853,0.02748,0.06452,0.33343,1.0000000000000004e-08,0,12.0
TC,180,0.27082,0.62223,0.60569,0.29875,0.44364,0.35853,0.02748,0.06452,0.33343,1.0000000000000004e-08,0,12.0
TC,181,0.27082,0.62222,0.60569,0.29876,0.44363,0.35853,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,12.0
TC,182,0.27083,0.62222,0.60569,0.29877,0.44355,0.35854,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,12.0
TC,183,0.27082,0.62223,0.60569,0.29877,0.44355,0.35854,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,12.0
TC,184,0.27082,0.62224,0.60569,0.29878,0.44355,0.35855,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,185,0.27081,0.62216,0.60569,0.29885,0.44356,0.35861,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,186,0.27081,0.62216,0.60569,0.29885,0.44357,0.3586,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,12.0
TC,187,0.2708,0.62216,0.60569,0.29885,0.44355,0.35863,0.02749,0.0645,0.33343,1.0000000000000004e-08,0,12.0
TC,188,0.2708,0.62215,0.60569,0.29886,0.44356,0.35861,0.02748,0.0645,0.33343,1.0000000000000004e-08,0,12.0
TC,189,0.2708,0.62214,0.60569,0.29885,0.44356,0.3586,0.02748,0.0645,0.33343,1.0000000000000004e-08,0,12.0
TC,190,0.27079,0.62218,0.60569,0.29883,0.44357,0.35858,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,12.0
TC,191,0.27078,0.62218,0.60569,0.29885,0.44359,0.35859,0.02747,0.06451,0.33343,1.0000000000000004e-08,0,12.0
TC,192,0.27078,0.62218,0.60569,0.29883,0.44358,0.35858,0.02747,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,193,0.27078,0.62218,0.60569,0.29885,0.44362,0.35858,0.02747,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,194,0.27078,0.62218,0.60569,0.29886,0.44361,0.35858,0.02747,0.06451,0.33343,1.0000000000000004e-08,0,12.0
TC,195,0.27077,0.62218,0.60569,0.29887,0.44363,0.3586,0.02747,0.0645,0.33343,1.0000000000000004e-08,0,12.0
TC,196,0.27077,0.62218,0.60569,0.29889,0.44363,0.35861,0.02747,0.0645,0.33343,1.0000000000000004e-08,0,12.0
TC,197,0.27076,0.62217,0.60569,0.29887,0.44362,0.35861,0.02747,0.0645,0.33343,1.0000000000000004e-08,0,12.0
TC,198,0.27076,0.62218,0.60569,0.29887,0.44363,0.35861,0.02747,0.0645,0.33343,1.0000000000000004e-08,0,12.0
TC,199,0.27076,0.62218,0.60569,0.29887,0.44362,0.35861,0.02747,0.0645,0.33343,1.0000000000000004e-08,0,12.0
TC,200,0.27075,0.62219,0.60569,0.29887,0.44362,0.3586,0.02747,0.0645,0.33343,1.0000000000000004e-08,0,12.0
