cell,epoch,train_loss,val_loss,best_val,bin_val_dice,bin_val_prec,bin_val_rec,bin_val_fpr,bin_val_fnr,best_bin_dice,lr,improved,time_s
TD,105,0.34495,0.64772,0.64441,0.30336,0.4138,0.38378,0.03294,0.06721,0.35119,1.0000000000000004e-08,0,11.9
TD,106,0.34494,0.64771,0.64441,0.30345,0.41383,0.38385,0.03294,0.06721,0.35119,1.0000000000000004e-08,0,11.9
TD,107,0.34494,0.64771,0.64441,0.30346,0.41382,0.38389,0.03294,0.0672,0.35119,1.0000000000000004e-08,0,11.9
TD,108,0.34494,0.64772,0.64441,0.30348,0.41384,0.38392,0.03295,0.0672,0.35119,1.0000000000000004e-08,0,11.9
TD,109,0.34493,0.64772,0.64441,0.30355,0.41384,0.38399,0.03296,0.0672,0.35119,1.0000000000000004e-08,0,11.9
TD,110,0.34493,0.64771,0.64441,0.30353,0.41389,0.38395,0.03295,0.0672,0.35119,1.0000000000000004e-08,0,11.9
TD,111,0.34492,0.64703,0.64441,0.30416,0.41388,0.38422,0.03294,0.06718,0.35119,1.0000000000000004e-08,0,11.8
TD,112,0.34493,0.64703,0.64441,0.30415,0.41386,0.38425,0.03294,0.06718,0.35119,1.0000000000000004e-08,0,11.9
TD,113,0.34492,0.64704,0.64441,0.30391,0.41384,0.38411,0.03294,0.06718,0.35119,1.0000000000000004e-08,0,11.8
TD,114,0.34492,0.64701,0.64441,0.30395,0.4139,0.38409,0.03293,0.06718,0.35119,1.0000000000000004e-08,0,11.8
TD,115,0.34492,0.64701,0.64441,0.30399,0.41389,0.38412,0.03293,0.06718,0.35119,1.0000000000000004e-08,0,11.8
TD,116,0.34492,0.64699,0.64441,0.30404,0.41391,0.38417,0.03293,0.06718,0.35119,1.0000000000000004e-08,0,11.9
TD,117,0.34491,0.64696,0.64441,0.30451,0.41406,0.38459,0.03293,0.06717,0.35119,1.0000000000000004e-08,0,11.8
TD,118,0.34491,0.64705,0.64441,0.30442,0.41411,0.38453,0.03292,0.06717,0.35119,1.0000000000000004e-08,0,11.8
TD,119,0.34492,0.64704,0.64441,0.30447,0.41417,0.38457,0.03292,0.06717,0.35119,1.0000000000000004e-08,0,11.9
TD,120,0.34492,0.64706,0.64441,0.30436,0.41414,0.38449,0.03292,0.06718,0.35119,1.0000000000000004e-08,0,11.8
TD,121,0.34492,0.64695,0.64441,0.30482,0.41473,0.38457,0.03289,0.06717,0.35119,1.0000000000000004e-08,0,11.8
TD,122,0.34491,0.64694,0.64441,0.30492,0.41472,0.38461,0.03289,0.06717,0.35119,1.0000000000000004e-08,0,11.9
TD,123,0.34491,0.64694,0.64441,0.30491,0.41471,0.38461,0.0329,0.06717,0.35119,1.0000000000000004e-08,0,11.9
TD,124,0.3449,0.64718,0.64441,0.30462,0.4138,0.38457,0.03295,0.06719,0.35119,1.0000000000000004e-08,0,11.9
TD,125,0.3449,0.64707,0.64441,0.30464,0.41365,0.38456,0.03295,0.06717,0.35119,1.0000000000000004e-08,0,11.9
TD,126,0.34489,0.64722,0.64441,0.30453,0.41366,0.38454,0.03297,0.06719,0.35119,1.0000000000000004e-08,0,11.8
TD,127,0.34488,0.64723,0.64441,0.3044,0.41365,0.38435,0.03295,0.0672,0.35119,1.0000000000000004e-08,0,11.8
TD,128,0.34488,0.64722,0.64441,0.30449,0.41368,0.38442,0.03295,0.0672,0.35119,1.0000000000000004e-08,0,11.8
TD,129,0.34487,0.64782,0.64441,0.30408,0.41373,0.38419,0.03295,0.06722,0.35119,1.0000000000000004e-08,0,11.9
TD,130,0.34488,0.64785,0.64441,0.30395,0.41365,0.38409,0.03295,0.06722,0.35119,1.0000000000000004e-08,0,11.8
TD,131,0.34487,0.64791,0.64441,0.30387,0.4136,0.38397,0.03296,0.06723,0.35119,1.0000000000000004e-08,0,11.8
TD,132,0.34486,0.64803,0.64441,0.30315,0.41364,0.38354,0.03296,0.06724,0.35119,1.0000000000000004e-08,0,11.8
TD,133,0.34485,0.64789,0.64441,0.3033,0.41366,0.38359,0.03295,0.06722,0.35119,1.0000000000000004e-08,0,11.8
TD,134,0.34485,0.648,0.64441,0.30334,0.41399,0.38354,0.03293,0.06724,0.35119,1.0000000000000004e-08,0,11.8
TD,135,0.34486,0.64801,0.64441,0.30336,0.41401,0.38355,0.03293,0.06724,0.35119,1.0000000000000004e-08,0,11.8
TD,136,0.34485,0.64801,0.64441,0.30336,0.41402,0.38356,0.03293,0.06724,0.35119,1.0000000000000004e-08,0,11.8
TD,137,0.34484,0.64801,0.64441,0.30338,0.414,0.38357,0.03293,0.06724,0.35119,1.0000000000000004e-08,0,11.8
TD,138,0.34484,0.64801,0.64441,0.30336,0.41402,0.38356,0.03293,0.06724,0.35119,1.0000000000000004e-08,0,11.8
TD,139,0.34484,0.64803,0.64441,0.30333,0.41401,0.38353,0.03293,0.06725,0.35119,1.0000000000000004e-08,0,11.8
TD,140,0.34483,0.64802,0.64441,0.3034,0.414,0.38359,0.03292,0.06724,0.35119,1.0000000000000004e-08,0,11.8
TD,141,0.34483,0.648,0.64441,0.3034,0.41399,0.38361,0.03292,0.06724,0.35119,1.0000000000000004e-08,0,11.8
TD,142,0.34482,0.64799,0.64441,0.30344,0.41402,0.38367,0.03293,0.06724,0.35119,1.0000000000000004e-08,0,11.8
TD,143,0.34483,0.64803,0.64441,0.30343,0.41387,0.38371,0.03293,0.06723,0.35119,1.0000000000000004e-08,0,11.8
TD,144,0.34483,0.64818,0.64441,0.30186,0.41387,0.38283,0.03294,0.06724,0.35119,1.0000000000000004e-08,0,11.8
TD,145,0.34482,0.64819,0.64441,0.30183,0.41386,0.3828,0.03294,0.06724,0.35119,1.0000000000000004e-08,0,11.8
TD,146,0.34481,0.64816,0.64441,0.30193,0.41396,0.38287,0.03293,0.06724,0.35119,1.0000000000000004e-08,0,11.8
TD,147,0.3448,0.64815,0.64441,0.30196,0.41398,0.38287,0.03292,0.06724,0.35119,1.0000000000000004e-08,0,11.8
TD,148,0.3448,0.64847,0.64441,0.30022,0.41401,0.38187,0.0329,0.06727,0.35119,1.0000000000000004e-08,0,11.9
TD,149,0.34479,0.64835,0.64441,0.30141,0.41405,0.38246,0.03289,0.06727,0.35119,1.0000000000000004e-08,0,11.8
TD,150,0.34479,0.64835,0.64441,0.30142,0.41407,0.38246,0.03288,0.06727,0.35119,1.0000000000000004e-08,0,11.8
TD,151,0.34479,0.64835,0.64441,0.30133,0.41404,0.38239,0.03289,0.06727,0.35119,1.0000000000000004e-08,0,11.8
TD,152,0.34479,0.64833,0.64441,0.30138,0.41402,0.38248,0.03289,0.06727,0.35119,1.0000000000000004e-08,0,11.8
TD,153,0.34478,0.64831,0.64441,0.3014,0.41389,0.3826,0.03293,0.06726,0.35119,1.0000000000000004e-08,0,11.8
TD,154,0.34478,0.64828,0.64441,0.30155,0.41394,0.38277,0.03293,0.06725,0.35119,1.0000000000000004e-08,0,11.8
TD,155,0.34477,0.64825,0.64441,0.30158,0.41394,0.38279,0.03293,0.06725,0.35119,1.0000000000000004e-08,0,11.8
TD,156,0.34477,0.64826,0.64441,0.30162,0.41401,0.38278,0.03292,0.06725,0.35119,1.0000000000000004e-08,0,11.8
TD,157,0.34476,0.64826,0.64441,0.30162,0.41401,0.38278,0.03291,0.06725,0.35119,1.0000000000000004e-08,0,11.8
TD,158,0.34476,0.64825,0.64441,0.30161,0.41399,0.38277,0.03292,0.06725,0.35119,1.0000000000000004e-08,0,11.8
TD,159,0.34477,0.64828,0.64441,0.30115,0.41394,0.38256,0.03292,0.06725,0.35119,1.0000000000000004e-08,0,11.8
TD,160,0.34477,0.64831,0.64441,0.30109,0.41395,0.38251,0.03292,0.06726,0.35119,1.0000000000000004e-08,0,11.8
TD,161,0.34476,0.64817,0.64441,0.30166,0.41404,0.38303,0.03294,0.06724,0.35119,1.0000000000000004e-08,0,11.8
TD,162,0.34476,0.64817,0.64441,0.30165,0.41403,0.38302,0.03294,0.06724,0.35119,1.0000000000000004e-08,0,11.8
TD,163,0.34476,0.64809,0.64441,0.30196,0.41453,0.38323,0.03292,0.06723,0.35119,1.0000000000000004e-08,0,11.8
TD,164,0.34475,0.64814,0.64441,0.30173,0.41429,0.38303,0.03292,0.06723,0.35119,1.0000000000000004e-08,0,11.8
TD,165,0.34475,0.64812,0.64441,0.30191,0.4145,0.38319,0.03291,0.06723,0.35119,1.0000000000000004e-08,0,11.8
TD,166,0.34474,0.64817,0.64441,0.30144,0.41446,0.38295,0.03292,0.06724,0.35119,1.0000000000000004e-08,0,11.9
TD,167,0.34473,0.64816,0.64441,0.30143,0.41447,0.38292,0.03292,0.06724,0.35119,1.0000000000000004e-08,0,11.9
TD,168,0.34474,0.64815,0.64441,0.30148,0.4144,0.38305,0.03293,0.06723,0.35119,1.0000000000000004e-08,0,11.9
TD,169,0.34474,0.64812,0.64441,0.30151,0.41447,0.38302,0.03292,0.06723,0.35119,1.0000000000000004e-08,0,11.8
TD,170,0.34473,0.6479,0.64441,0.30196,0.41446,0.38353,0.03293,0.06721,0.35119,1.0000000000000004e-08,0,11.8
TD,171,0.34472,0.64791,0.64441,0.30195,0.41446,0.38352,0.03293,0.06721,0.35119,1.0000000000000004e-08,0,11.8
TD,172,0.34472,0.64789,0.64441,0.30208,0.41447,0.38363,0.03295,0.0672,0.35119,1.0000000000000004e-08,0,11.8
TD,173,0.34472,0.6479,0.64441,0.30211,0.41451,0.38359,0.03294,0.0672,0.35119,1.0000000000000004e-08,0,11.9
TD,174,0.34472,0.64788,0.64441,0.30221,0.41449,0.38371,0.03294,0.06719,0.35119,1.0000000000000004e-08,0,11.8
TD,175,0.34471,0.64805,0.64441,0.30143,0.41447,0.38331,0.03295,0.06721,0.35119,1.0000000000000004e-08,0,11.8
TD,176,0.34471,0.64803,0.64441,0.30143,0.41446,0.38331,0.03294,0.06721,0.35119,1.0000000000000004e-08,0,11.8
